path,label,img_name_no_ext,filepath,filename,md5,CAMID,X,View,zenodo_name,zenodo_link,Sequence,Taxonomic_Name,Locality,Sample_accession,Collected_by,Other_ID,Date,Dataset,Store,Brood,Death_Date,Stage,Sex,Unit_Type,file_type,record_number,species,subspecies,genus,file_url
/fs/ess/PAS2136/Butterfly/Model_Mimic/model_mimic_images_dorsal/Heliconius melpomene ssp. ecuadorensis/CAM009121_d.png,Heliconius melpomene ssp. ecuadorensis,CAM009121_d,model_mimic_images/Heliconius melpomene ssp. ecuadorensis/CAM009121_d.JPG,CAM009121_d.JPG,a53d24d89d1baeaf9a4760ab1b601c0b,CAM009121,10211,dorsal,CAM.coll.images.batch6.csv,https://zenodo.org/record/2686762,"9,121",Heliconius melpomene ssp. ecuadorensis,Old Zamora Road,ERS977696,,,09/12/2006,Heliconiine Butterfly Collection Records from University of Cambridge,Box 33,,,,Male,wild,jpg,2686762,Heliconius melpomene,ecuadorensis,Heliconius,https://zenodo.org/record/2686762/files/CAM009121_d.JPG
/fs/ess/PAS2136/Butterfly/Model_Mimic/model_mimic_images_dorsal/Heliconius melpomene ssp. ecuadorensis/CAM009117_d.png,Heliconius melpomene ssp. ecuadorensis,CAM009117_d,model_mimic_images/Heliconius melpomene ssp. ecuadorensis/CAM009117_d.JPG,CAM009117_d.JPG,911916538a6d7b7be4208b108e0c86b4,CAM009117,10203,dorsal,CAM.coll.images.batch6.csv,https://zenodo.org/record/2686762,"9,117",Heliconius melpomene ssp. ecuadorensis,Old Zamora Road,ERS977695,,,10/12/2006,Heliconiine Butterfly Collection Records from University of Cambridge,Box 33,,,,Male,wild,jpg,2686762,Heliconius melpomene,ecuadorensis,Heliconius,https://zenodo.org/record/2686762/files/CAM009117_d.JPG
/fs/ess/PAS2136/Butterfly/Model_Mimic/model_mimic_images_dorsal/Heliconius melpomene ssp. ecuadorensis/CAM009112_d.png,Heliconius melpomene ssp. ecuadorensis,CAM009112_d,model_mimic_images/Heliconius melpomene ssp. ecuadorensis/CAM009112_d.JPG,CAM009112_d.JPG,acc7994a4a980b1485a11019a0eb5b27,CAM009112,10193,dorsal,CAM.coll.images.batch6.csv,https://zenodo.org/record/2686762,"9,112",Heliconius melpomene ssp. ecuadorensis,Old Zamora Road,ERS074429,,,10/12/2006,Heliconiine Butterfly Collection Records from University of Cambridge,Box 121,,,,Male,wild,jpg,2686762,Heliconius melpomene,ecuadorensis,Heliconius,https://zenodo.org/record/2686762/files/CAM009112_d.JPG
/fs/ess/PAS2136/Butterfly/Model_Mimic/model_mimic_images_dorsal/Heliconius melpomene ssp. nanna/CAM036167_d.png,Heliconius melpomene ssp. nanna,CAM036167_d,model_mimic_images/Heliconius melpomene ssp. nanna/CAM036167_d.JPG,CAM036167_d.JPG,e1872cf25416224a344c158d31be5440,CAM036167,41439,dorsal,Filelist.csv,https://zenodo.org/record/5561246,"36,167",Heliconius melpomene ssp. nanna,Jiqui - JI01,,,,19/12/2020,,,,,,Male,,jpg,5561246,Heliconius melpomene,nanna,Heliconius,https://zenodo.org/record/5561246/files/CAM036167_d.JPG
/fs/ess/PAS2136/Butterfly/Model_Mimic/model_mimic_images_dorsal/Heliconius melpomene ssp. nanna/CAM036117_d.png,Heliconius melpomene ssp. nanna,CAM036117_d,model_mimic_images/Heliconius melpomene ssp. nanna/CAM036117_d.JPG,CAM036117_d.JPG,ff1850b64d8733fa25bcab2656d6ffcb,CAM036117,41271,dorsal,Filelist.csv,https://zenodo.org/record/5561246,"36,117",Heliconius melpomene ssp. nanna,Jiqui - JI01,,,,17/11/2020,,,,,,Male,,jpg,5561246,Heliconius melpomene,nanna,Heliconius,https://zenodo.org/record/5561246/files/CAM036117_d.JPG
/fs/ess/PAS2136/Butterfly/Model_Mimic/model_mimic_images_dorsal/Heliconius melpomene ssp. nanna/CAM036133_d.png,Heliconius melpomene ssp. nanna,CAM036133_d,model_mimic_images/Heliconius melpomene ssp. nanna/CAM036133_d.JPG,CAM036133_d.JPG,7d627e790b33477421d78a52e60bb0c5,CAM036133,41335,dorsal,Filelist.csv,https://zenodo.org/record/5561246,"36,133",Heliconius melpomene ssp. nanna,Jiqui - JI09,,,,18/12/2020,,,,,,Male,,jpg,5561246,Heliconius melpomene,nanna,Heliconius,https://zenodo.org/record/5561246/files/CAM036133_d.JPG
/fs/ess/PAS2136/Butterfly/Model_Mimic/model_mimic_images_dorsal/Heliconius melpomene ssp. nanna/CAM036171_d.png,Heliconius melpomene ssp. nanna,CAM036171_d,model_mimic_images/Heliconius melpomene ssp. nanna/CAM036171_d.JPG,CAM036171_d.JPG,1953b7459cd5eb699197ffd010e99067,CAM036171,41455,dorsal,Filelist.csv,https://zenodo.org/record/5561246,"36,171",Heliconius melpomene ssp. nanna,Jiqui - JI01,,,,19/12/2020,,,,,,Male,,jpg,5561246,Heliconius melpomene,nanna,Heliconius,https://zenodo.org/record/5561246/files/CAM036171_d.JPG
/fs/ess/PAS2136/Butterfly/Model_Mimic/model_mimic_images_dorsal/Heliconius melpomene ssp. nanna/CAM036116_d.png,Heliconius melpomene ssp. nanna,CAM036116_d,model_mimic_images/Heliconius melpomene ssp. nanna/CAM036116_d.JPG,CAM036116_d.JPG,5f13bea83b2e9930cec883a6a7dc9070,CAM036116,41267,dorsal,Filelist.csv,https://zenodo.org/record/5561246,"36,116",Heliconius melpomene ssp. nanna,Jiqui - JI01,,,,17/11/2020,,,,,,Male,,jpg,5561246,Heliconius melpomene,nanna,Heliconius,https://zenodo.org/record/5561246/files/CAM036116_d.JPG
/fs/ess/PAS2136/Butterfly/Model_Mimic/model_mimic_images_dorsal/Heliconius melpomene ssp. nanna/CAM036125_d.png,Heliconius melpomene ssp. nanna,CAM036125_d,model_mimic_images/Heliconius melpomene ssp. nanna/CAM036125_d.JPG,CAM036125_d.JPG,e28d656585ef91401ed9b311f30c5373,CAM036125,41303,dorsal,Filelist.csv,https://zenodo.org/record/5561246,"36,125",Heliconius melpomene ssp. nanna,Jiqui - JI06,,,,17/11/2020,,,,,,Male,,jpg,5561246,Heliconius melpomene,nanna,Heliconius,https://zenodo.org/record/5561246/files/CAM036125_d.JPG
/fs/ess/PAS2136/Butterfly/Model_Mimic/model_mimic_images_dorsal/Heliconius melpomene ssp. nanna/CAM036135_d.png,Heliconius melpomene ssp. nanna,CAM036135_d,model_mimic_images/Heliconius melpomene ssp. nanna/CAM036135_d.JPG,CAM036135_d.JPG,b24fd1aabbb8af7d3008a564d93d228e,CAM036135,41343,dorsal,Filelist.csv,https://zenodo.org/record/5561246,"36,135",Heliconius melpomene ssp. nanna,Jiqui - JI11,,,,18/12/2020,,,,,,Male,,jpg,5561246,Heliconius melpomene,nanna,Heliconius,https://zenodo.org/record/5561246/files/CAM036135_d.JPG
/fs/ess/PAS2136/Butterfly/Model_Mimic/model_mimic_images_dorsal/Heliconius melpomene ssp. nanna/CAM036212_d.png,Heliconius melpomene ssp. nanna,CAM036212_d,model_mimic_images/Heliconius melpomene ssp. nanna/CAM036212_d.JPG,CAM036212_d.JPG,839454cceeea6789bb8b2fffc8096573,CAM036212,41563,dorsal,Filelist.csv,https://zenodo.org/record/5561246,"36,212",Heliconius melpomene ssp. nanna,Sapiranga - SA01,,,,04/01/2021,,,,,,Female,,jpg,5561246,Heliconius melpomene,nanna,Heliconius,https://zenodo.org/record/5561246/files/CAM036212_d.JPG
/fs/ess/PAS2136/Butterfly/Model_Mimic/model_mimic_images_dorsal/Heliconius melpomene ssp. nanna/CAM036187_d.png,Heliconius melpomene ssp. nanna,CAM036187_d,model_mimic_images/Heliconius melpomene ssp. nanna/CAM036187_d.JPG,CAM036187_d.JPG,f0be629a196a7c0f8035ebf465c705c2,CAM036187,41479,dorsal,Filelist.csv,https://zenodo.org/record/5561246,"36,187",Heliconius melpomene ssp. nanna,Guaribas - RG10,,,,20/12/2020,,,,,,Female,,jpg,5561246,Heliconius melpomene,nanna,Heliconius,https://zenodo.org/record/5561246/files/CAM036187_d.JPG
/fs/ess/PAS2136/Butterfly/Model_Mimic/model_mimic_images_dorsal/Heliconius melpomene ssp. nanna/CAM036136_d.png,Heliconius melpomene ssp. nanna,CAM036136_d,model_mimic_images/Heliconius melpomene ssp. nanna/CAM036136_d.JPG,CAM036136_d.JPG,d3e505190a773689185e5511a083bfb7,CAM036136,41347,dorsal,Filelist.csv,https://zenodo.org/record/5561246,"36,136",Heliconius melpomene ssp. nanna,Jiqui - JI12,,,,18/12/2020,,,,,,Male,,jpg,5561246,Heliconius melpomene,nanna,Heliconius,https://zenodo.org/record/5561246/files/CAM036136_d.JPG
/fs/ess/PAS2136/Butterfly/Model_Mimic/model_mimic_images_dorsal/Heliconius melpomene ssp. nanna/CAM036127_d.png,Heliconius melpomene ssp. nanna,CAM036127_d,model_mimic_images/Heliconius melpomene ssp. nanna/CAM036127_d.JPG,CAM036127_d.JPG,8aa1a5d9b1989642596b922a3f9ccfe2,CAM036127,41311,dorsal,Filelist.csv,https://zenodo.org/record/5561246,"36,127",Heliconius melpomene ssp. nanna,Jiqui - JI07,,,,17/11/2020,,,,,,Male,,jpg,5561246,Heliconius melpomene,nanna,Heliconius,https://zenodo.org/record/5561246/files/CAM036127_d.JPG
/fs/ess/PAS2136/Butterfly/Model_Mimic/model_mimic_images_dorsal/Heliconius melpomene ssp. nanna/CAM036228_d.png,Heliconius melpomene ssp. nanna,CAM036228_d,model_mimic_images/Heliconius melpomene ssp. nanna/CAM036228_d.JPG,CAM036228_d.JPG,2910b93ee23a91d86de577cc865e558e,CAM036228,41623,dorsal,Filelist.csv,https://zenodo.org/record/5561246,"36,228",Heliconius melpomene ssp. nanna,Sapiranga - SA01,,,,05/01/2021,,,,,,Female,,jpg,5561246,Heliconius melpomene,nanna,Heliconius,https://zenodo.org/record/5561246/files/CAM036228_d.JPG
/fs/ess/PAS2136/Butterfly/Model_Mimic/model_mimic_images_dorsal/Heliconius melpomene ssp. nanna/CAM036126_d.png,Heliconius melpomene ssp. nanna,CAM036126_d,model_mimic_images/Heliconius melpomene ssp. nanna/CAM036126_d.JPG,CAM036126_d.JPG,9bb93688423f950800d4b666b4335b64,CAM036126,41307,dorsal,Filelist.csv,https://zenodo.org/record/5561246,"36,126",Heliconius melpomene ssp. nanna,Jiqui - JI06,,,,17/11/2020,,,,,,,,jpg,5561246,Heliconius melpomene,nanna,Heliconius,https://zenodo.org/record/5561246/files/CAM036126_d.JPG
/fs/ess/PAS2136/Butterfly/Model_Mimic/model_mimic_images_dorsal/Heliconius melpomene ssp. nanna/CAM036011_d.png,Heliconius melpomene ssp. nanna,CAM036011_d,model_mimic_images/Heliconius melpomene ssp. nanna/CAM036011_d.JPG,CAM036011_d.JPG,0415fe5b0a8bb8ecdbe097a6c4e6298e,CAM036011,41095,dorsal,Filelist.csv,https://zenodo.org/record/5561246,"36,011",Heliconius melpomene ssp. nanna,Caetes - EC04,,,,12/12/2020,,,,,,,,jpg,5561246,Heliconius melpomene,nanna,Heliconius,https://zenodo.org/record/5561246/files/CAM036011_d.JPG
/fs/ess/PAS2136/Butterfly/Model_Mimic/model_mimic_images_dorsal/Heliconius melpomene ssp. nanna/CAM036387_d.png,Heliconius melpomene ssp. nanna,CAM036387_d,model_mimic_images/Heliconius melpomene ssp. nanna/CAM036387_d.JPG,CAM036387_d.JPG,dd449a99a91eca3cac90d19318d25ddd,CAM036387,42027,dorsal,Filelist.csv,https://zenodo.org/record/5561246,"36,387",Heliconius melpomene ssp. nanna,Santa Lucia - SL09,,,,14/01/2021,,,,,,Male,,jpg,5561246,Heliconius melpomene,nanna,Heliconius,https://zenodo.org/record/5561246/files/CAM036387_d.JPG
/fs/ess/PAS2136/Butterfly/Model_Mimic/model_mimic_images_dorsal/Heliconius melpomene ssp. nanna/CAM036129_d.png,Heliconius melpomene ssp. nanna,CAM036129_d,model_mimic_images/Heliconius melpomene ssp. nanna/CAM036129_d.JPG,CAM036129_d.JPG,023c9fe3166640c91d7ae4f3914949bb,CAM036129,41319,dorsal,Filelist.csv,https://zenodo.org/record/5561246,"36,129",Heliconius melpomene ssp. nanna,Jiqui - JI08,,,,17/11/2020,,,,,,Male,,jpg,5561246,Heliconius melpomene,nanna,Heliconius,https://zenodo.org/record/5561246/files/CAM036129_d.JPG
/fs/ess/PAS2136/Butterfly/Model_Mimic/model_mimic_images_dorsal/Heliconius melpomene ssp. nanna/CAM036194_d.png,Heliconius melpomene ssp. nanna,CAM036194_d,model_mimic_images/Heliconius melpomene ssp. nanna/CAM036194_d.JPG,CAM036194_d.JPG,02120f1d63c6e94f02b4d94f0e546cae,CAM036194,41507,dorsal,Filelist.csv,https://zenodo.org/record/5561246,"36,194",Heliconius melpomene ssp. nanna,Guaribas - RG16,,,,20/12/2020,,,,,,Male,,jpg,5561246,Heliconius melpomene,nanna,Heliconius,https://zenodo.org/record/5561246/files/CAM036194_d.JPG
/fs/ess/PAS2136/Butterfly/Model_Mimic/model_mimic_images_dorsal/Heliconius melpomene ssp. nanna/CAM036182_d.png,Heliconius melpomene ssp. nanna,CAM036182_d,model_mimic_images/Heliconius melpomene ssp. nanna/CAM036182_d.JPG,CAM036182_d.JPG,229738db85d6001e489eb4a40aa80782,CAM036182,41463,dorsal,Filelist.csv,https://zenodo.org/record/5561246,"36,182",Heliconius melpomene ssp. nanna,Guaribas - RG10,,,,20/12/2020,,,,,,Male,,jpg,5561246,Heliconius melpomene,nanna,Heliconius,https://zenodo.org/record/5561246/files/CAM036182_d.JPG
/fs/ess/PAS2136/Butterfly/Model_Mimic/model_mimic_images_dorsal/Heliconius melpomene ssp. nanna/CAM036010_d.png,Heliconius melpomene ssp. nanna,CAM036010_d,model_mimic_images/Heliconius melpomene ssp. nanna/CAM036010_d.JPG,CAM036010_d.JPG,11ddd7597a6a97eb11b8a9086c0fc87d,CAM036010,41091,dorsal,Filelist.csv,https://zenodo.org/record/5561246,"36,010",Heliconius melpomene ssp. nanna,Caetes - EC03,,,,12/12/2020,,,,,,Male,,jpg,5561246,Heliconius melpomene,nanna,Heliconius,https://zenodo.org/record/5561246/files/CAM036010_d.JPG
/fs/ess/PAS2136/Butterfly/Model_Mimic/model_mimic_images_dorsal/Heliconius melpomene ssp. nanna/CAM036170_d.png,Heliconius melpomene ssp. nanna,CAM036170_d,model_mimic_images/Heliconius melpomene ssp. nanna/CAM036170_d.JPG,CAM036170_d.JPG,bdd398e38712f5f7508a9a6381e9eab4,CAM036170,41451,dorsal,Filelist.csv,https://zenodo.org/record/5561246,"36,170",Heliconius melpomene ssp. nanna,Jiqui - JI01,,,,19/12/2020,,,,,,Male,,jpg,5561246,Heliconius melpomene,nanna,Heliconius,https://zenodo.org/record/5561246/files/CAM036170_d.JPG
/fs/ess/PAS2136/Butterfly/Model_Mimic/model_mimic_images_dorsal/Heliconius melpomene ssp. nanna/CAM036166_d.png,Heliconius melpomene ssp. nanna,CAM036166_d,model_mimic_images/Heliconius melpomene ssp. nanna/CAM036166_d.JPG,CAM036166_d.JPG,2ea2c7833575602cebfbabcc396efb7e,CAM036166,41435,dorsal,Filelist.csv,https://zenodo.org/record/5561246,"36,166",Heliconius melpomene ssp. nanna,Jiqui - JI01,,,,19/12/2020,,,,,,Male,,jpg,5561246,Heliconius melpomene,nanna,Heliconius,https://zenodo.org/record/5561246/files/CAM036166_d.JPG
/fs/ess/PAS2136/Butterfly/Model_Mimic/model_mimic_images_dorsal/Heliconius melpomene ssp. nanna/CAM036227_d.png,Heliconius melpomene ssp. nanna,CAM036227_d,model_mimic_images/Heliconius melpomene ssp. nanna/CAM036227_d.JPG,CAM036227_d.JPG,b9b5d1a1f1a3b8def94af397595d9ed2,CAM036227,41619,dorsal,Filelist.csv,https://zenodo.org/record/5561246,"36,227",Heliconius melpomene ssp. nanna,Sapiranga - SA01,,,,05/01/2021,,,,,,Female,,jpg,5561246,Heliconius melpomene,nanna,Heliconius,https://zenodo.org/record/5561246/files/CAM036227_d.JPG
/fs/ess/PAS2136/Butterfly/Model_Mimic/model_mimic_images_dorsal/Heliconius melpomene ssp. nanna/CAM036258_d.png,Heliconius melpomene ssp. nanna,CAM036258_d,model_mimic_images/Heliconius melpomene ssp. nanna/CAM036258_d.JPG,CAM036258_d.JPG,56f75763b47ec6778f914531b481944c,CAM036258,41711,dorsal,Filelist.csv,https://zenodo.org/record/5561246,"36,258",Heliconius melpomene ssp. nanna,Sapiranga - SA09,,,,06/01/2021,,,,,,Male,,jpg,5561246,Heliconius melpomene,nanna,Heliconius,https://zenodo.org/record/5561246/files/CAM036258_d.JPG
/fs/ess/PAS2136/Butterfly/Model_Mimic/model_mimic_images_dorsal/Heliconius melpomene ssp. nanna/CAM036202_d.png,Heliconius melpomene ssp. nanna,CAM036202_d,model_mimic_images/Heliconius melpomene ssp. nanna/CAM036202_d.JPG,CAM036202_d.JPG,d4b6fc6de2f0b497d355c662dc9f9495,CAM036202,41539,dorsal,Filelist.csv,https://zenodo.org/record/5561246,"36,202",Heliconius melpomene ssp. nanna,Jiqui - JI05,,,,20/12/2020,,,,,,Male,,jpg,5561246,Heliconius melpomene,nanna,Heliconius,https://zenodo.org/record/5561246/files/CAM036202_d.JPG
/fs/ess/PAS2136/Butterfly/Model_Mimic/model_mimic_images_dorsal/Heliconius melpomene ssp. nanna/CAM036259_d.png,Heliconius melpomene ssp. nanna,CAM036259_d,model_mimic_images/Heliconius melpomene ssp. nanna/CAM036259_d.JPG,CAM036259_d.JPG,ccf4002005d38e199daf805b7cfe3a2f,CAM036259,41715,dorsal,Filelist.csv,https://zenodo.org/record/5561246,"36,259",Heliconius melpomene ssp. nanna,Sapiranga - SA09,,,,06/01/2021,,,,,,Male,,jpg,5561246,Heliconius melpomene,nanna,Heliconius,https://zenodo.org/record/5561246/files/CAM036259_d.JPG
/fs/ess/PAS2136/Butterfly/Model_Mimic/model_mimic_images_dorsal/Heliconius melpomene ssp. nanna/CAM036132_d.png,Heliconius melpomene ssp. nanna,CAM036132_d,model_mimic_images/Heliconius melpomene ssp. nanna/CAM036132_d.JPG,CAM036132_d.JPG,a9a89dc698800eeb3b8d26a9c4713dd4,CAM036132,41331,dorsal,Filelist.csv,https://zenodo.org/record/5561246,"36,132",Heliconius melpomene ssp. nanna,Jiqui - JI09,,,,18/12/2020,,,,,,Male,,jpg,5561246,Heliconius melpomene,nanna,Heliconius,https://zenodo.org/record/5561246/files/CAM036132_d.JPG
/fs/ess/PAS2136/Butterfly/Model_Mimic/model_mimic_images_dorsal/Heliconius melpomene ssp. nanna/CAM036384_d.png,Heliconius melpomene ssp. nanna,CAM036384_d,model_mimic_images/Heliconius melpomene ssp. nanna/CAM036384_d.JPG,CAM036384_d.JPG,d1c882be3e44c7a13192b86c8312805f,CAM036384,42015,dorsal,Filelist.csv,https://zenodo.org/record/5561246,"36,384",Heliconius melpomene ssp. nanna,Santa Lucia - SL09,,,,14/01/2021,,,,,,Male,,jpg,5561246,Heliconius melpomene,nanna,Heliconius,https://zenodo.org/record/5561246/files/CAM036384_d.JPG
/fs/ess/PAS2136/Butterfly/Model_Mimic/model_mimic_images_dorsal/Heliconius melpomene ssp. nanna/CAM036200_d.png,Heliconius melpomene ssp. nanna,CAM036200_d,model_mimic_images/Heliconius melpomene ssp. nanna/CAM036200_d.JPG,CAM036200_d.JPG,9064cfce9fe0b15f8e346766dd64d749,CAM036200,41531,dorsal,Filelist.csv,https://zenodo.org/record/5561246,"36,200",Heliconius melpomene ssp. nanna,Jiqui - JI11,,,,20/12/2020,,,,,,Female,,jpg,5561246,Heliconius melpomene,nanna,Heliconius,https://zenodo.org/record/5561246/files/CAM036200_d.JPG
